Part Number,Quantity,Manufacturer
GRM155R71C104KA88D ,8000000 ,Murata 
RC0805JR-073M3L ,5092000 ,Philips 
GRM155R71E103KA01D ,2320880 ,Murata Electronics 
C0402C100J5GAC3121 ,1810000 ,Kemet 
CL21A106KPFNNNE ,1014000 ,Samsung 
CC0603KRX7R8BB104 ,1004000 ,YAGEO 
GCM188R71H473KA55D ,1000000 ,Murata 
223858615623 ,944000 ,Philips 
08052R104K8B20D ,900000 ,Philips 
GRM033R71H102KA12D ,898330 ,Murata 
GCM21BR71A106KE22L ,839500 ,Murata 
GCM21BR70J106KE22L ,810000 ,Murata 
GRM188R61A105KA61D ,624000 ,Murata 
C0402C103K3RAC ,570000 ,Kemet 
GRM155R71H222KA01D ,560000 ,Murata 
CRCW040233K0FKEDHP ,500000 ,VISHAY 
GCM188R71H682KA37D ,500000 ,Murata 
GCM31CR70J226KE23L ,467969 ,Murata 
GRM155R61A475MEAAD ,454994 ,Murata 
GRM1555C1H221JA01D ,441622 ,Murata 
223858615618 ,440000 ,Philips 
GCJ31CR71E475KA12L ,400000 ,Murata 
RC0603JR-073K6L ,400000 ,Yageo 
GRM21BR71A225KA01L ,348274 ,Murata 
BYD17G ,344000 ,Philips 
GCM155R71H103KA55D ,305000 ,Murata 
1N4007-PSD-T ,300000 ,PSD 
C1608X7R1H104K080AA ,300000 ,TDK 
SG731JTTD2R2K ,300000 ,KOA 
GCM188R71H102KA37D ,284000 ,Murata 
GCM188R71H103KA37D ,260000 ,Murata 
232273263923 ,250000 ,Philips 
CGA3E2X7R1H104K080AA ,240000 ,TDK 
GCM32ER70J476KE19L ,210000 ,Murata 
GCM155C71A474KE36D ,201080 ,MURATA 
"BAT54,215 ",201000 ,Nexperia 
GCM21BC71A475KA73K ,201000 ,Murata 
RK73B1ETTP472J ,200001 ,KOA 
GCJ31CR71C106KA15L ,196998 ,Murata 
06035C104K4Z2A ,180000 ,AVX 
C2012C0G1H180JT ,180000 ,TDK 
CC0805KKX7R6BB475 ,180000 ,Yageo 
GCM21BR71E225KA73L ,150000 ,Murata 
232273263903 ,144940 ,Philips 
RC0805FR-075K6L ,135000 ,Yageo 
RC0805JR-07330RL ,135000 ,Philips 
GCM188R71H333KA55D ,126095 ,Murata 
CL32B334KCNE ,120000 ,Samsung 
RC0603FR-0733KL ,120000 ,Yageo 
RC0805FR-073K9L ,120000 ,Yageo 
ERJ-8ENF2741V ,112195 ,Panasonic 
06035C104K4Z4A ,105000 ,AVX 
CC0805KKX7R6BB225 ,102000 ,Yageo 
GCM188R71H103KA37J ,100000 ,Murata 
GCM31CR71C475KA37L ,100000 ,Murata 
GCM31CR71E475KA55L ,100000 ,MURATA 
RC0805FR-0756KL ,100000 ,Yageo 
GRM155C71A105KE11D ,97167 ,Murata 
ERJ6ENF2701V ,96113 ,Panasonic 
242254942353 ,94000 ,Murata 
08055A100JAT2A ,92000 ,AVX / Kyocera 
222258015614 ,92000 ,Yageo 
ERJ-2GEJ472X ,91060 ,Panasonic 
MMT223J50AK ,84000 ,Nissei 
RK73H2ATTD2701F ,82697 ,KOA 
CL32B224KCNE ,82250 ,Samsung 
293D335X9016B2TE3 ,80000 ,VISHAY 
C0603C681K5RAC3121 ,80000 ,Kemet 
CGA4J1X7R0J106K125AC ,80000 ,TDK 
CRCW120610R0JNEAIF ,80000 ,VISHAY 
GRM188R71E474KA12D ,76660 ,Murata 
C1608X7R1H104K080AE ,76000 ,TDK 
GRM31CR71A226ME15L ,75948 ,Murata Electronics 
RC0805FR-07 ,75000 ,Yageo 
BYD17M ,74000 ,Philips 
ERJ-8ENF33R0V ,65000 ,Panasonic 
RC0805FR-075R6L ,65000 ,Yageo 
ECQV1H104JZ3 ,62000 ,PANASONIC 
ERJ-6ENF1873V ,58684 ,Panasonic 
BZX84-C6V2 ,57000 ,Philips 
GCM188R71H102KA37J ,56000 ,Murata 
CGA2B2X7R1E103K050BA ,55539 ,TDK 
RC1206FR-071R2L ,55000 ,Yageo 
C0402C225M9PACTU ,54000 ,Kemet 
ERJ-14YJ1R0U ,53900 ,Panasonic 
2238 861 15101 ,52000 ,Yageo 
C0603C331K5RAC ,52000 ,KEMET 
BC548-ATA ,50000 ,Fairchild 
CRCW0603220RUKEATR ,50000 ,Vishay 
ERJ14NF62R0U ,50000 ,Panasonic 
GCM188R71E104KA57D ,50000 ,MURATA 
RC1005J300CS ,50000 ,Samsung 
CRM2512-JW-220ELF ,48000 ,BOURNS 
GCJ31CR71E106KA22L ,48000 ,Murata 
"BAS521,115 ",45000 ,Nexperia 
ERJ-14YJ221U ,44557 ,Panasonic 
CC0603KRX7R9BB472 ,44000 ,Yageo 
RC1206FR-07220RL ,40000 ,Yageo 
GCJ21BR71H105KA01L ,39000 ,MURATA 
GCM32ER71E106KA57L ,39000 ,MURATA 
293D226X9016B ,36000 ,Vishay 
TPS71525QDCKRQ1 ,36000 ,TI 
UPR2D470MHH1CA ,34344 ,Nichicon 
"BCX56-16,115 ",33853 ,Nexperia 
M24C16-WMN6T ,33173 ,STM 
C1206C104K1RACTU ,32121 ,Kemet 
GRM39C0G220G50PT ,31557 ,Murata 
GRM1885C1H8R2BA01D ,30560 ,Murata 
C3225X7R1E106K250AC ,30000 ,TDK 
RC0603FR-072K7L ,30000 ,Yageo 
GCM188R71E473KA37 ,29000 ,Murata 
1-480699-0 ,28500 ,TE Connectivity 
NRC06J5R1TR ,25000 ,NIC Components Corp. 
RK73H2BTTD33R0F ,25000 ,KOA 
927771-3 ,24000 ,TE / AMP 
P6KE68CA-E3/73 ,24000 ,VISHAY 
M24C16-WMN6 ,23364 ,STM 
GRM188R71H332KA01D ,22540 ,Murata 
HEF4046BTD ,21090 ,Philips 
INA-54063-TR1 ,21000 ,Agilent Technologies 
TB180445 ,21000 ,TDK 
GCM1555C1H1R8BA16D ,20959 ,Murata 
1210X105K250SNT ,20000 ,Capax Technologies 
C1608C0G1H220GT ,20000 ,TDK 
C2012X7R1A106K125AC ,20000 ,TDK 
CF1/2225JT52 ,20000 ,KOA 
CF25-221JTR ,20000 ,Yageo 
GCM155R71H223KA55D ,20000 ,Murata 
GCM1885C1H9R0BZ13D ,20000 ,MURATA 
IEC384-14 ,20000 ,Vertronics 
PLED18Q12 ,20000 ,Littelfuse 
RC0805FR-073R3L ,20000 ,Yageo 
TZMC5V1-GS08 ,19300 ,Telefunken 
LMK325ABJ107MMHT ,18494 ,Taiyo Yuden 
NCP1271D100R2G ,17500 ,ON SEMI 
GCM155R71E103KA37D ,16610 ,Murata 
C2012C0G1H100D ,16000 ,TDK 
CF1/2102JT52 ,16000 ,KOA 
BFC233862103 ,15000 ,VISHAY 
MC74HC132ADR2G ,15000 ,ON SEMI 
MMSZ4713T1G ,15000 ,ON Semi 
GCJ32EC71H106KA01L ,13695 ,MURATA 
250R05L5R6BG4S ,13500 ,Johanson Tech. 
560124-0101 ,13500 ,Molex 
GCM21BR71A106KE22K ,13000 ,Murata 
